ticket_id,title,description,category,resolution,priority,
TKT-1606,Forgot Bitlocker PIN,Prompting for recovery key.,Access Management,Retrieved the Bitlocker recovery key from Intune and provided it to the user.,High,
TKT-1607,Phishing text,Got an SMS from the 'CEO'.,Security,Confirmed smishing attempt. Instructed user to block the number.,Low,
TKT-1608,Kafka consumer group stuck,Messages are not being processed.,Application,Restarted the Node.js consumer pods to rejoin the consumer group.,High,
TKT-1609,Node NotReady,Kubelet crashed.,Infrastructure,Rebooted the worker node to clear out zombie processes.,Medium,
TKT-1610,Need Tableau Viewer,Need access to dashboards.,Access Management,Assigned Tableau Viewer license.,Low,
TKT-1611,AWS Secret exposed,Key found in public repo.,Security,Deleted the IAM access key and initiated a security audit of the repository.,Critical,
TKT-1612,Postgres deadlocks,Transactions rolling back.,Database,Optimized the batch update query to lock rows in a consistent order.,High,
TKT-1613,MacBook charger sparking,Cable is broken.,Infrastructure,Instructed user to throw it away. Shipped a new USB-C charger.,High,
TKT-1614,Slow DNS resolution,Pings take 5 seconds to resolve.,Network,Flushed the DNS cache on the core Windows Server DNS.,Medium,
TKT-1615,NFS share read only,Cannot write to the network drive.,Storage,Fixed the /etc/exports configuration to include the 'rw' flag for the client IP subnet.,Medium,
TKT-1616,Need SSMS,Please install SQL Studio.,Access Management,Pushed the software package via MDM.,Low,
TKT-1617,Express body parser error,Getting 413 Payload Too Large on file upload.,Application,Increased the limit parameter in the express.json() middleware configuration.,Medium,
TKT-1618,Pod eviction,Pods being evicted due to disk pressure.,Infrastructure,Cleared orphaned Docker images using 'docker image prune -a'.,High,
TKT-1619,MySQL foreign key fail,Cannot delete parent row.,Database,Temporarily set foreign_key_checks = 0 to perform the manual data cleanup.,Medium,
TKT-1620,Doesn't work,Why isn't it working.,Application,Escalated to human triage.,Low,
TKT-1621,SSL certificate expired,Website shows Not Secure.,Security,Manually renewed the Let's Encrypt certificate and restarted Nginx.,Critical,
TKT-1622,Need Github Enterprise,Invite me.,Access Management,Sent invitation to the organization.,Low,
TKT-1623,S3 versioning error,Cannot delete objects.,Storage,Instructed user to delete the specific version ID or use a lifecycle rule.,Low,
TKT-1624,React build failing,Webpack out of memory.,Application,Increased NODE_OPTIONS max_old_space_size.,Medium,
TKT-1625,BGP flapping,Route drops constantly.,Network,Matched MTU on the WAN interface to the ISP specifications.,Critical,
TKT-1626,Forgot my username,What is my login.,Access Management,Provided user with their UPN format.,Low,
TKT-1627,MongoDB slow text search,Query taking forever.,Database,Created a compound index to support the search query.,High,
TKT-1628,Broken chair,Wheel snapped off.,Infrastructure,Submitted facility request for replacement.,Low,
TKT-1629,Cannot mount EFS,EC2 fails to mount.,Storage,Allowed NFS traffic in the security group.,High,
TKT-1630,Docker compose network error,Containers can't communicate.,Infrastructure,Added a user-defined bridge network.,Medium,
TKT-1631,Phishing email clicked,Entered credentials on fake site.,Security,Reset password and revoked sessions.,Critical,
TKT-1632,React IE11 blank,White screen.,Application,Added react-app-polyfill.,Medium,
TKT-1633,MongoDB peering dropped,Cannot connect to Atlas.,Network,Re-accepted VPC peering request.,Critical,
TKT-1634,Need Canva Pro,Need for marketing.,Access Management,Added user to Canva team.,Low,
TKT-1635,Database password expired,App logs say expired.,Database,Set password to never expire.,High,
TKT-1636,Phone cord cut,Need new cord.,Infrastructure,Replaced handset cord.,Low,
TKT-1637,App stopped working,Was working yesterday.,Application,Escalated to human triage.,Low,
TKT-1638,SAML invalid signature,Okta SSO failing.,Access Management,Uploaded new SP metadata XML.,High,
TKT-1639,EBS performance degraded,High IO latency.,Storage,Upgraded volume to io1.,Critical,
TKT-1640,Missing emails inbox,Emails gone.,Application,Deleted rogue Outlook rule.,Medium,
TKT-1641,VPN disconnects,Drops every 5 mins.,Network,Switched profile to TCP.,Medium,
TKT-1642,Forgot Jira PIN,Can't remember PIN.,Access Management,Reset mobile PIN via MDM.,Low,
TKT-1643,Elasticsearch red health,Missing primary shards.,Database,Restored indices from snapshot.,Critical,
TKT-1644,Malicious macro,AV blocked excel file.,Security,Deleted payload and ran full scan.,Critical,
TKT-1645,Memory leak in sidecar,Fluentbit using 2GB RAM.,Infrastructure,Updated Fluentbit config to limit memory.,Medium,
TKT-1646,Slack webhook broken,Not getting alerts.,Application,Regenerated webhook URL.,Medium,
TKT-1647,Need local admin rights,Need to install software.,Access Management,Provided LAPS credentials for 1 hour.,Medium,
TKT-1648,Route 53 health check fail,Failing over.,Network,Restarted crashed Nginx service.,Critical,
TKT-1649,Cannot mount volume,Docker fails to mount.,Storage,Created missing host directory.,Medium,
TKT-1650,High CPU on RDS,CPU at 99%.,Database,Killed runaway ad-hoc query.,Critical,
TKT-1651,Spam emails,Getting lots of spam.,Security,Adjusted SCL threshold in email gateway.,Low,
TKT-1652,Kubelet memory high,Systemd killing kubelet.,Infrastructure,Applied patch to limit kubelet memory.,High,
TKT-1653,Accidental reply all,Sent bad email to everyone.,Security,Executed message trace and purged email.,Critical,
TKT-1654,Need Adobe Pro,Need to edit PDFs.,Access Management,Assigned Adobe Acrobat Pro license.,Low,
TKT-1655,Slow DNS,Takes 5 seconds.,Network,Flushed DNS cache on domain controller.,Medium,
TKT-1656,Pod stuck in terminating,Pod won't delete.,Infrastructure,Force deleted the pod.,Medium,
TKT-1657,Missing email,Didn't get vendor email.,Network,Whitelisted vendor IP address.,Medium,
TKT-1658,Forgot bitlocker pin,Locked out.,Access Management,Retrieved recovery key and provided to user.,High,
TKT-1659,Disk quota exceeded,Can't save to shared drive.,Storage,Approved 10GB quota increase.,Low,
TKT-1660,MySQL deadlock,Queries failing.,Database,Modified logic to sort updates.,High,
TKT-1661,IP address conflict,Getting IP conflict.,Network,Cleared DHCP lease and renewed IP.,Medium,
TKT-1662,Account locked,Too many bad passwords.,Access Management,Unlocked account in Active Directory.,Low,
TKT-1663,Cannot pull from ECR,Docker pull gets access denied.,Infrastructure,Updated instance profile with ecr permissions.,Medium,
TKT-1664,App throwing auth error,Database password expired.,Database,Set app_user password to never expire.,High,
TKT-1665,Phone broken,Need new handset.,Infrastructure,Replaced the handset cord.,Low,
TKT-1666,Error message,Got an error.,Application,Escalated to human triage.,Low,
TKT-1667,SAML error,Okta error on login.,Access Management,Uploaded new Okta metadata.,High,
TKT-1668,EBS slow,High IO wait times.,Storage,Modified EBS volume type to gp3.,Medium,
TKT-1669,Need SSMS installed,Please install SQL studio.,Access Management,Deployed SSMS via Endpoint Manager.,Low,
TKT-1670,VPC endpoint blocking,Cannot reach S3.,Network,Updated VPC endpoint policy.,Medium,
TKT-1671,Lost Yubikey token,Token missing.,Security,Revoked token and issued replacement.,High,
TKT-1672,Webpack out of memory,Build fails on CI.,Application,Increased NODE_OPTIONS max memory size.,Medium,
TKT-1673,Postgres WAL full,Disk full due to WAL.,Database,Increased max_wal_size and triggered checkpoint.,Critical,
TKT-1674,Broken chair wheel,Wheel broke.,Infrastructure,Submitted facilities ticket.,Low,
TKT-1675,VPN auth failed,Says auth failed.,Access Management,Re-enabled disabled account.,Medium,
TKT-1676,Redis connection refused,Node app can't connect.,Database,Restarted crashed Redis service.,High,
TKT-1677,Internet broken,No wifi.,Network,Escalated to human triage.,Low,
TKT-1678,Terraform out of sync,Plan shows weird changes.,Infrastructure,Ran terraform refresh.,Medium,
TKT-1679,S3 versioning,Cannot delete file.,Storage,Instructed user to specify version ID.,Low,
TKT-1680,Cannot reach Twilio,API call timing out.,Network,Added NAT gateway to private subnet.,High,
TKT-1681,Need O365 E5,Need PowerBI.,Access Management,Upgraded user license to E5.,Low,
TKT-1682,Phishing link clicked,Entered password on fake site.,Security,Reset password and revoked tokens.,Critical,
TKT-1683,React Router blank,Blank page.,Application,Added exact prop to route.,Medium,
TKT-1684,Cassandra node down,Node is offline.,Database,Cleared old logs and restarted Cassandra.,High,
TKT-1685,USB ports disabled,Can't use thumb drive.,Security,Denied. USB storage blocked by policy.,Low,
TKT-1686,Jenkins UI slow,UI is hanging.,Infrastructure,Increased Java heap size.,Medium,
TKT-1687,Help me please,Need help.,Application,Escalated to human triage.,Low,
TKT-1688,Sharepoint permission denied,Can't upload file.,Access Management,Granted Member access.,Low,
TKT-1689,GlusterFS degraded,Volume is degraded.,Storage,Restarted glusterd and started heal.,High,
TKT-1690,CORS error on font,Fonts not loading.,Application,Added CDN domain to allowed origins.,Medium,
TKT-1691,AWS VPN down,Tunnel disconnected.,Network,Corrected pre-shared key on gateway.,Critical,
TKT-1692,Forgot Windows password,Locked out.,Access Management,Reset password and forced change.,Medium,
TKT-1693,MySQL foreign key fail,Cannot drop table.,Database,"Disabled foreign key checks, dropped table.",Low,
TKT-1694,Pod stuck terminating,Pod won't go away.,Infrastructure,Force deleted the pod.,Low,
TKT-1695,Mac charger broken,Sparking cable.,Infrastructure,"Instructed user to stop using, shipped replacement.",High,
TKT-1696,SSL handshake failed,LB returning SSL error.,Security,Renewed and attached expired SSL certificate.,Critical,
TKT-1697,Need Github Enterprise,Please invite me.,Access Management,Sent invitation to org.,Low,
TKT-1698,MongoDB slow search,Text search is slow.,Database,Rebuilt text index on collection.,Medium,
TKT-1699,System down,Nothing loads.,Application,Escalated to human triage.,Low,
TKT-1700,Cannot mount EFS,EC2 can't mount volume.,Storage,Allowed NFS traffic in security group.,High,
TKT-1701,Docker compose error,Containers can't talk.,Infrastructure,Added custom bridge network.,Medium,
TKT-1702,BGP flapping,BGP drops constantly.,Network,Matched MTU settings on WAN interface.,Critical,
TKT-1703,Cannot run Python,Module missing.,Application,Instructed user to pip install module.,Low,
TKT-1704,Need production logs access,Need to view prod logs.,Access Management,Denied per security policy.,Low,
TKT-1705,Redis OOM,OOM command not allowed.,Database,Increased maxmemory limit in config.,Critical,
TKT-1706,Phishing SMS,Got a weird text.,Security,Sent out company-wide smishing alert.,Low,
TKT-1707,Storage gateway offline,Disconnected.,Storage,Added more cache disk space to VM.,High,
TKT-1708,Forgot WiFi password,Need password.,Access Management,Instructed user to use certificate enrollment.,Low,
TKT-1709,Kube-proxy crashloop,Failing to start.,Infrastructure,Downgraded iptables to compatible version.,High,
TKT-1710,Database pool empty,Timeout pool empty.,Application,Increased HikariCP max pool size.,Medium,
TKT-1711,Cannot reach wiki,Wiki not resolving.,Network,Recreated DNS A record for wiki.,High,
TKT-1712,MFA loop,Okta keeps sending pushes.,Access Management,Synced time on user device.,Medium,
TKT-1713,Help,Stopped working.,Application,Escalated to human triage.,Low,
TKT-1714,MySQL deadlock found,Rollbacks due to deadlock.,Database,Scheduled jobs to run sequentially.,High,
TKT-1715,AWS key exposed,Key committed to Github.,Security,Revoked key and rotated credentials.,Critical,
TKT-1716,Need Acrobat Reader,Need to view PDFs.,Access Management,Directed user to self-service portal.,Low,
TKT-1717,Docker push failed,Unauthorized.,Infrastructure,Ran docker login with updated ECR credentials.,Medium,
TKT-1718,RDP connection failed,Cannot RDP to server.,Network,Changed Windows Firewall profile to Domain.,Medium,
TKT-1719,Node version mismatch,Requires Node v18.,Application,Updated NVM alias to v18.,Medium,
TKT-1720,Guest wifi access,Need code for guests.,Network,Generated and emailed 24-hour voucher.,Low,
TKT-1721,S3 unencrypted,Bucket missing KMS.,Security,Enabled default AES-256 encryption.,High,
TKT-1722,Elasticsearch mapping error,Too many dynamic fields.,Database,Set index mapping to strict.,Critical,
TKT-1723,Monitor black,Second screen won't turn on.,Infrastructure,Re-seated DisplayPort cable.,Low,
TKT-1724,Delete user data,GDPR request.,Database,Ran PII redaction script.,High,
TKT-1725,VPN split DNS broken,Cannot resolve public domains.,Network,Configured OpenVPN to push public DNS.,Medium,
TKT-1726,CORS policy blocking API,Staging frontend getting blocked by CORS when hitting api.staging.company.com.,Application,Added the staging frontend URL to the Access-Control-Allow-Origin headers in the Express backend.,Medium,
TKT-1727,Forgot my laptop password,Locked out of my machine. My phone number is 555-010-9941.,Access Management,Verified user via phone call and reset their local Active Directory password.,High,
TKT-1728,EKS Node OOM,Worker node ip-10-0-5-112 experienced an OutOfMemory panic and rebooted.,Infrastructure,Identified a memory leak in a third-party logging daemonset. Pinned the daemonset to a previous stable version.,Critical,
TKT-1729,Cannot query Snowflake,Getting 'Role does not have usage privileges on warehouse'.,Database,Granted USAGE on the compute_wh warehouse to the user's assigned role.,Medium,
TKT-1730,Phishing email,Got an email claiming my W2 is ready from a non-company address.,Security,Blocked the sender domain and sent out a reminder to the company about tax season phishing scams.,Low,
TKT-1731,S3 bucket too large,"The prod-analytics bucket has grown to 50TB, costing too much.",Storage,Implemented an S3 Lifecycle rule to transition objects older than 90 days to Glacier Deep Archive.,Medium,
TKT-1732,VPN split tunneling,Cannot reach my home printer when connected to the company VPN.,Network,Updated the VPN profile to allow split tunneling for local subnet traffic (192.168.1.0/24).,Low,
TKT-1733,Jenkins agent disconnected,Agent linux-build-04 went offline during a deployment.,Infrastructure,Restarted the Jenkins remoting service on the agent via SSH.,High,
TKT-1734,Access denied to Confluence,Says I need a license to view this space. Email is chloe.adams@company.com.,Access Management,Provisioned a Confluence standard license for the user.,Low,
TKT-1735,Postgres relation does not exist,Query failing on production. Table 'user_sessions' missing.,Database,The database migration script was not executed on the production environment. Ran Flyway migrate.,Critical,
TKT-1736,Kafka partition leader missing,Topic 'events' partition 12 has no leader.,Infrastructure,A broker crashed. Restarted the broker and triggered a preferred replica election.,High,
TKT-1737,Need help,It is broken.,Application,Escalated to human triage due to lack of details.,Low,
TKT-1738,Malware on desktop,Defender found a trojan in my downloads folder.,Security,Isolated the machine. The file was a known false positive from an internal testing tool. Un-isolated.,Medium,
TKT-1739,Redis maxmemory reached,Cache is evicting items randomly causing high DB load.,Database,Increased the ElastiCache node size and set the eviction policy to volatile-lru.,Critical,
TKT-1740,React hook error,Getting 'Rendered more hooks than during the previous render'.,Application,Moved a conditionally rendered useState hook to the top level of the functional component.,Medium,
TKT-1741,Cannot connect to NAS,Windows cannot map the Z drive.,Storage,"The user's password had expired in AD, causing the SMB connection to fail. Reset password.",Medium,
TKT-1742,BGP session dropped,Peering with AWS Direct Connect went down.,Network,The BGP hold timer expired due to a momentary fiber cut. Session auto-recovered after 30 seconds.,Critical,
TKT-1743,Need local admin,Need admin to install Docker Desktop.,Access Management,Granted temporary admin access via LAPS.,Low,
TKT-1744,Pod crashlooping,The payment-service pod keeps restarting.,Application,The pod was missing the STRIPE_SECRET_KEY environment variable. Added to the deployment manifest.,High,
TKT-1745,Spam calls on VoIP,Getting 20 robocalls a day on my desk phone.,Network,Implemented a STIR/SHAKEN filtering policy on the corporate SIP trunk.,Low,
TKT-1746,Database connection timeout,NodeJS app is throwing ETIMEDOUT when connecting to RDS.,Database,The RDS instance was undergoing a minor version upgrade. Application reconnected automatically.,High,
TKT-1747,Accidental data deletion,I deleted a critical folder on the shared drive.,Storage,Restored the folder from the previous night's Volume Shadow Copy (VSS) snapshot.,High,
TKT-1748,AWS MFA lost,I dropped my phone in the lake. Cannot log into AWS console.,Access Management,Verified identity via HR records. Revoked the old virtual MFA and issued a temporary bypass code.,High,
TKT-1749,Nginx returning 504,Gateway timeout on the main API endpoint.,Network,The upstream application server was overwhelmed. Scaled up the backend ECS task count.,Critical,
TKT-1750,Fix this,Please fix my computer.,Infrastructure,Escalated to human triage.,Low,
TKT-1751,GitHub Actions stuck,Pipeline queued for 45 minutes.,Infrastructure,The self-hosted runner had run out of disk space. Cleared old Docker images and restarted the runner.,High,
TKT-1752,Need Visio license,Manager approved. Please assign.,Access Management,Assigned Microsoft Visio Plan 2 license.,Low,
TKT-1753,MongoDB slow query,Find operation taking 12 seconds.,Database,Added a compound index covering the query fields. Query time dropped to 15ms.,High,
TKT-1754,Wifi password,What is the guest wifi password?,Network,Emailed the weekly rotating guest wifi password to the user.,Low,
TKT-1755,React build failing,Out of memory during webpack compile.,Application,Increased NODE_OPTIONS max_old_space_size to 4096.,Medium,
TKT-1756,Suspicious login,Login from unfamiliar IP.,Security,User confirmed they were using a personal VPN. Dismissed alert.,Low,
TKT-1757,EBS volume degraded,High read latency on the database data volume.,Storage,Migrated the EBS volume from gp2 to gp3 to ensure consistent baseline IOPS.,Critical,
TKT-1758,Forgot Jira password,Can't log in to Atlassian.,Access Management,Directed user to log in via the Okta SSO portal instead of directly.,Low,
TKT-1759,MySQL replication stopped,Slave thread is reporting an error.,Database,A duplicate key error caused replication to halt. Skipped the offending transaction and restarted slave.,High,
TKT-1760,Laptop won't charge,Plugged in but battery is draining.,Infrastructure,Dispatched a replacement USB-C power adapter.,Medium,
TKT-1761,VPC endpoint error,EC2 cannot pull from ECR.,Network,Added the ecr.dkr and ecr.api VPC endpoints to the private subnet.,High,
TKT-1762,Need Adobe Pro,Need to edit PDF documents.,Access Management,Provisioned Adobe Acrobat Pro license.,Low,
TKT-1763,Kubelet memory high,Systemd is OOM killing the kubelet.,Infrastructure,Applied a patch to kubelet config to strictly enforce memory limits.,High,
TKT-1764,Phishing link clicked,I entered my credentials on a fake Microsoft page.,Security,"Immediately forced password reset, invalidated all tokens, and isolated user machine.",Critical,
TKT-1765,Terraform state locked,Cannot apply infrastructure changes.,Infrastructure,Force-unlocked the state file in DynamoDB after verifying no active runs.,Medium,
TKT-1766,Does not work,Why is it broken.,Application,Escalated to human triage.,Low,
TKT-1767,Redis timeout,App is dropping cache connections.,Database,Increased the timeout threshold in the application Redis client.,Medium,
TKT-1768,Cannot mount EFS,EC2 instance fails to mount EFS on boot.,Storage,Added the nfs-utils package to the EC2 user data script.,Medium,
TKT-1769,BGP route flapping,Session with ISP keeps dropping.,Network,Identified MTU mismatch. Adjusted router interface MTU to 1500.,Critical,
TKT-1770,Need Github access,Please invite me to the enterprise org.,Access Management,Sent invitation to user's company email.,Low,
TKT-1771,S3 bucket exposed,Security hub flagged bucket as public.,Security,Applied Block Public Access to the bucket.,Critical,
TKT-1772,Elasticsearch red health,Cluster missing shards.,Database,Restored missing indices from the nightly snapshot.,Critical,
TKT-1773,Pod stuck terminating,Pod will not delete.,Infrastructure,Force deleted using kubectl --grace-period=0 --force.,Low,
TKT-1774,Accidental reply all,Sent confidential info to the whole company.,Security,Used Exchange admin center to purge the message from all mailboxes.,Critical,
TKT-1775,Missing emails,Not receiving emails from vendor.,Network,Whitelisted the vendor's domain in the email security gateway.,Medium,
TKT-1776,Forgot Windows PIN,Cannot log into my laptop.,Access Management,Reset the Windows Hello PIN via Intune.,Low,
TKT-1777,Disk quota exceeded,Cannot save to shared drive.,Storage,Increased user's storage quota by 5GB.,Low,
TKT-1778,Postgres WAL full,Disk full due to transaction logs.,Database,Triggered a manual checkpoint and increased max_wal_size.,Critical,
TKT-1779,IP address conflict,Getting conflict warning on network.,Network,Cleared DHCP lease and renewed IP on user's machine.,Medium,
TKT-1780,Account locked,Locked out of Active Directory.,Access Management,Unlocked account and reset bad password count.,Low,
TKT-1781,Cannot pull Docker image,Access denied from ECR.,Infrastructure,Attached correct IAM role to the EC2 instance profile.,Medium,
TKT-1782,App throwing auth error,DB password expired.,Database,Set service account password to never expire.,High,
TKT-1783,Phone broken,Screen is cracked.,Infrastructure,Submitted request for replacement hardware.,Low,
TKT-1784,Error message,Got a weird error.,Application,Escalated to human triage.,Low,
TKT-1785,SAML signature invalid,Okta SSO error.,Access Management,Uploaded the renewed Okta metadata XML to the application.,High,
TKT-1786,EBS IOPS limit hit,High latency on database volume.,Storage,Upgraded EBS volume to io1 and provisioned higher IOPS.,Critical,
TKT-1787,Need SSMS installed,Need SQL studio.,Access Management,Deployed package via Endpoint Manager.,Low,
TKT-1788,Cannot reach S3,VPC endpoint blocking traffic.,Network,Updated VPC endpoint policy to allow necessary S3 actions.,Medium,
TKT-1789,Lost Yubikey,Hardware token is missing.,Security,Revoked the token and issued a replacement.,High,
TKT-1790,Webpack memory error,Build fails on CI.,Application,Increased NODE_OPTIONS memory limit.,Medium,
TKT-1791,Broken chair,Wheel snapped.,Infrastructure,Submitted facilities maintenance ticket.,Low,
TKT-1792,VPN auth failed,Says auth failed.,Access Management,Re-enabled user account in AD.,Medium,
TKT-1793,Redis connection refused,Can't connect to cache.,Database,Restarted the Redis service.,High,
TKT-1794,Internet broken,No connection.,Network,Escalated to human triage.,Low,
TKT-1795,Terraform out of sync,State file doesn't match reality.,Infrastructure,Ran terraform refresh.,Medium,
TKT-1796,S3 versioning,Cannot delete file permanently.,Storage,Instructed user to delete the specific version ID.,Low,
TKT-1797,Cannot reach Twilio,API timeout.,Network,Added NAT gateway to private subnet.,High,
TKT-1798,Need O365 E5,Need PowerBI access.,Access Management,Upgraded license to E5.,Low,
TKT-1799,Phishing test,Clicked the internal test link.,Security,Assigned remedial training.,Low,
TKT-1800,Workday not loading,I cannot access the payroll system.,Application,Investigating widespread Workday SSO outage.,Critical,
TKT-1801,Payroll system down,Getting a 502 error on Workday.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1802,Cannot view payslip,Workday says unavailable.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1803,Workday login loop,Keeps kicking me back to Okta.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1804,Is Workday down?,Blank screen when clicking the Workday tile.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1805,Cannot approve timesheets,Workday is throwing a SAML error.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1806,Payroll portal offline,Error 400 Bad Request.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1807,Okta tile broken,The Workday button does nothing.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1808,Need to submit expenses,Workday is completely down.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1809,SSO error on HR portal,Can't get into Workday.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1810,Workday timeout,Page just spins forever.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1811,Cannot request PTO,Workday is returning a 500 error.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1812,HR system crash,Workday isn't working today.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1813,Workday SAML invalid,Getting a signature error.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1814,Payslip portal down,I need to download my W2 but the site is broken.,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1815,Workday error,Can you fix Workday?,Application,Repeated issue. Linked to master ticket TKT-1800. Okta integration with Workday is currently degraded.,Critical,
TKT-1816,React Router blank,Blank page on navigation.,Application,Added exact prop to route definition.,Medium,
TKT-1817,Cassandra node down,Node is offline in ring.,Database,Restarted Cassandra service.,High,
TKT-1818,USB ports disabled,Can't use thumb drive.,Security,Denied request. USB storage is blocked by policy.,Low,
TKT-1819,Jenkins UI slow,UI is hanging.,Infrastructure,Increased Java heap size.,Medium,
TKT-1820,Help me please,Need help.,Application,Escalated to human triage.,Low,
TKT-1821,Sharepoint permission denied,Can't upload file.,Access Management,Granted Member access to the site.,Low,
TKT-1822,GlusterFS degraded,Volume is degraded.,Storage,Restarted glusterd and initiated heal.,High,
TKT-1823,CORS error on font,Fonts not loading.,Application,Added CDN domain to allowed origins.,Medium,
TKT-1824,AWS VPN down,Tunnel disconnected.,Network,Corrected pre-shared key on gateway.,Critical,
TKT-1825,Forgot Windows password,Locked out.,Access Management,Reset password and forced change.,Medium,
TKT-1826,MySQL foreign key fail,Cannot drop table.,Database,"Disabled foreign key checks, dropped table.",Low,
TKT-1827,Pod stuck terminating,Pod won't go away.,Infrastructure,Force deleted the pod.,Low,
TKT-1828,Mac charger broken,Sparking cable.,Infrastructure,Shipped replacement charger.,High,
TKT-1829,SSL handshake failed,LB returning SSL error.,Security,Renewed and attached SSL certificate.,Critical,
TKT-1830,Need Github Enterprise,Please invite me.,Access Management,Sent invitation.,Low,
TKT-1831,MongoDB slow search,Text search is slow.,Database,Rebuilt text index.,Medium,
TKT-1832,System down,Nothing loads.,Application,Escalated to human triage.,Low,
TKT-1833,Cannot mount EFS,EC2 can't mount volume.,Storage,Allowed NFS traffic in security group.,High,
TKT-1834,Docker compose error,Containers can't talk.,Infrastructure,Added custom bridge network.,Medium,
TKT-1835,BGP flapping,BGP drops constantly.,Network,Matched MTU on WAN interface.,Critical,
TKT-1836,Cannot run Python,Module missing.,Application,Instructed user to pip install module.,Low,
TKT-1837,Need production logs access,Need to view prod logs.,Access Management,Denied per security policy.,Low,
TKT-1838,Redis OOM,OOM command not allowed.,Database,Increased maxmemory limit.,Critical,
TKT-1839,Phishing SMS,Got a weird text.,Security,Sent out smishing alert.,Low,
TKT-1840,Storage gateway offline,Disconnected.,Storage,Added more cache disk space.,High,
TKT-1841,Forgot WiFi password,Need password.,Access Management,Instructed user to use certificate enrollment.,Low,
TKT-1842,Kube-proxy crashloop,Failing to start.,Infrastructure,Downgraded iptables.,High,
TKT-1843,Database pool empty,Timeout pool empty.,Application,Increased HikariCP max pool size.,Medium,
TKT-1844,Cannot reach wiki,Wiki not resolving.,Network,Recreated DNS A record.,High,
TKT-1845,MFA loop,Okta keeps sending pushes.,Access Management,Synced time on user device.,Medium,
TKT-1846,Help,Stopped working.,Application,Escalated to human triage.,Low,
TKT-1847,MySQL deadlock found,Rollbacks due to deadlock.,Database,Scheduled jobs to run sequentially.,High,
TKT-1848,AWS key exposed,Key committed to Github.,Security,Revoked key and rotated credentials.,Critical,
TKT-1849,Need Acrobat Reader,Need to view PDFs.,Access Management,Directed user to self-service portal.,Low,
TKT-1850,Docker push failed,Unauthorized.,Infrastructure,Ran docker login.,Medium,
TKT-1851,RDP connection failed,Cannot RDP to server.,Network,Changed Firewall profile to Domain.,Medium,
TKT-1852,Node version mismatch,Requires Node v18.,Application,Updated NVM alias.,Medium,
TKT-1853,Guest wifi access,Need code for guests.,Network,Generated 24-hour voucher.,Low,
TKT-1854,S3 unencrypted,Bucket missing KMS.,Security,Enabled default AES-256 encryption.,High,
TKT-1855,Elasticsearch mapping error,Too many dynamic fields.,Database,Set index mapping to strict.,Critical,
TKT-1856,Monitor black,Second screen won't turn on.,Infrastructure,Re-seated DisplayPort cable.,Low,
TKT-1857,Delete user data,"GDPR request. My SSN is on file, remove it.",Database,Ran PII redaction script across all databases.,High,
TKT-1858,VPN split DNS broken,Cannot resolve public domains.,Network,Configured OpenVPN to push public DNS.,Medium,
TKT-1859,Need Tableau Explorer,Manager approved.,Access Management,Provisioned Tableau Explorer license.,Low,
TKT-1860,GitHub runner offline,Runner is disconnected.,Infrastructure,Restarted github-actions-runner service.,High,
TKT-1861,Lost Outlook access,Prompting for password.,Access Management,Sent instructions to update AD password.,Medium,
TKT-1862,WAF blocking users,403 forbidden on form submit.,Security,Added WAF rule exclusion.,Critical,
TKT-1863,Redis read timeout,Timeout exceptions.,Database,Increased timeout limit in config.,Medium,
TKT-1864,Printer broken,Jammed.,Infrastructure,Cleared jam and replaced toner.,Low,
TKT-1865,Need AWS console,Need to view logs.,Access Management,Created IAM user with CloudWatch access.,Low,
TKT-1866,File corrupted,Won't open.,Application,Escalated to human triage.,Low,
TKT-1867,Postgres high CPU,100% CPU during cron.,Database,Refactored cron to batch deletes.,High,
TKT-1868,Route 53 failing,Health check failed.,Network,Restarted crashed Nginx service.,Critical,
TKT-1869,Cannot connect NAS Mac,Finder error.,Storage,Enabled SMBv3 support on NAS.,Medium,
